terms;values
аава;2
аалто;2
ааль;2
аапель;2
аарон;2
абаканович;2
абакумов;2
абалакин;2
абанский;2
абасов;2
абасова;2
абашин;2
аббас;2
аббат;1,698970
аббатство;1,698970
абберация;2
аббревиатура;1,518514
аббревиатурный;2
абд;2
абдалла;2
абдаллах;1,698970
абдель;2
абдо;2
абдул;1,698970
абдулла;1,698970
абдулмамед;2
абдурахимов;2
абдуррауф;2
абдуррахман;2
абеба;2
абель;1,518514
абер;2
абернеть;2
аберрантный;2
аберрация;2
абзац;1,204120
абзацный;2
аби;2
абиссиния;2
абластический;2
абориген;1,698970
аборт;2
абрамов;2
абрамовна;2
абрамян;2
абрахам;2
абросимов;2
абсолютированный;2
абсолютно;1,041393
абсолютный;0,954243
абсорбция;2
абстрактный;1,518514
абсурд;1,079181
абсурдизм;2
абсурдность;1,518514
абсурдный;1,397940
абу;1,397940
абуркашевич;2
абхазия;1,698970
абышко;2
ава;2
авад;2
авадхар;2
авакян;1,698970
авангард;1,301030
авангардист;2
авангардистский;2
авангардный;1,698970
аванкамера;2
аванс;2
аварийный;1,518514
авария;1,518514
аватарка;2
аватеа;2
авг;2
авгур;2
авгурин;2
август;0,301030
августин;1,698970
августина;2
авдиева;2
авдонина;2
авенарь;2
авербух;2
аверс;1,698970
аветисов;2
ави;2
авиакатастрофа;2
авиакомпания;2
авиаконструктор;2
авиалайнер;2
авианосец;1,518514
авиационный;1,698970
авиация;1,204120
авив;2
авива;2
авивский;2
авигдор;2
авитать;2
авиха;2
авиценный;2
авл;1,698970
авот;2
авраам;2
аврал;2
авранш;2
аврелий;1,698970
авринг;2
аврора;2
авсановый;2
австралазий;2
австралийский;1,518514
австралия;0,778151
австриец;2
австрийский;1,079181
австрия;1,146128
австро;1,397940
австромарксизм;2
авт;2
автобиографический;1,518514
автобиография;1,301030
автобус;1,146128
автобусный;2
автовский;2
автограф;1,698970
автогужевой;2
автодорога;2
автозаводской;2
автокефальный;2
автомат;1,698970
автоматизация;1,518514
автоматизированный;1,301030
автоматика;1,698970
автоматически;0,698970
автоматический;1,079181
автоматный;2
автомашина;2
автомобилестроение;1,518514
автомобиль;0,954243
автомобильный;1,397940
автомотриса;2
автономия;1,698970
автономный;1,079181
автопатрулировать;1,698970
автопереводчик;2
автоподтвердить;2
автопортрет;2
автор;0
авторесса;2
автореф;2
авторизация;1,518514
авторизованный;2
авторитарный;2
авторитет;1,041393
авторитетность;0,903090
авторитетный;0,477121
авторский;0,602060
авторство;0,845098
автосемантия;2
автосохранение;2
автосцепка;2
автотомия;2
автотранспорт;1,698970
автотранспортный;2
автотрансформатор;2
автотроф;2
авченко;2
авшалом;2
ага;1,518514
агадать;2
агаев;2
агал;2
агальцов;2
агамалы;2
агапова;2
агар;2
агариковый;2
агассиз;1,698970
агат;2
агата;2
агванийот;2
агенобарб;1,698970
агент;1,146128
агентство;0,954243
агентура;2
агео;1,397940
агиографический;2
агирр;2
агитатор;2
агитаторский;2
агитационный;2
агитация;2
аглая;2
агмс;2
агнес;2
агномен;2
агония;2
аграрный;1,518514
агрегат;1,698970
агрегатор;1,518514
агрессивность;1,698970
агрессивный;1,041393
агрессия;1,204120
агриппа;2
агриппина;2
агропромиздат;1,698970
агс;2
агунда;2
агьаммур;0,301030
ад;1,518514
ада;1,397940
адалят;2
адам;1,397940
адамс;1,518514
адамсон;2
адаптация;1,301030
адаптировать;1,518514
адаптироваться;1,698970
адвокат;1,204120
адвокатский;2
адгезия;2
адгербала;2
аддис;2
адекватно;2
адекватный;1,397940
аделина;2
аделунг;2
адель;2
адельберт;2
аденауэр;2
аденовирус;2
адепт;1,698970
адесание;2
адетокунбо;2
аджикабульский;2
адиб;2
адильоглы;2
адлать;2
адлер;2
админ;2
административно;1,301030
административный;0,778151
администратор;0,778151
администраторский;2
администрация;0,903090
адмирал;1,301030
адмиралтейский;2
адмиралтейство;1,518514
адмон;2
адокс;2
адольф;1,079181
адонис;2
адопция;2
адош;2
адрес;0,477121
адресат;2
адресация;2
адресовать;1,397940
адресоваться;2
адриан;1,698970
адриано;2
адриатический;1,698970
адриен;2
адс;1,698970
адъюнкт;2
адъютант;1,698970
адыгейский;2
адэ;2
адэр;2
аждар;2
ажиотаж;1,397940
ажурный;2
азамат;2
азарова;2
азарт;2
азартный;1,397940
азбука;2
азеллион;2
азеотропный;2
азерб;2
азербайджан;1,518514
азербайджанец;2
азербайджанка;2
азербайджанский;1,518514
азернешра;2
азертадж;2
азиатский;1,397940
азиатско;2
азибек;2
азид;2
азиз;1,518514
азизага;2
азизба;2
азизбек;2
азизбеков;1,698970
азизбековский;2
азизе;2
азим;1,698970
азимбек;2
азимов;2
азит;2
азия;0,778151
азовцев;2
азот;1,518514
азотистый;2
азотнокислый;2
азотный;2
азотсодержащий;1,698970
азхаря;2
азцик;2
азы;2
аи;1,079181
аиправлять;2
аист;2
аистообразный;2
ай;2
айвазовский;2
айдаров;2
айзек;1,698970
айзен;2
айзенберг;2
айзерман;2
айка;2
айларов;2
айленд;1,698970
айлендерс;2
айлс;2
айлский;2
айн;1,698970
айнштейн;2
айова;1,518514
айрес;1,518514
айрон;2
айсберг;1,698970
айхер;2
айюбида;2
ак;2
ака;2
акад;1,518514
академик;0,778151
академический;0,778151
академичность;1,698970
академия;0,477121
акарицид;2
аква;1,698970
акваланг;2
акварелист;2
акварель;1,397940
аквариум;1,301030
аквариумный;2
акватинта;2
акватория;2
аквилон;2
аквинат;2
аквинский;2
аквитания;2
акепа;2
акер;2
акиалоа;2
акимушкин;2
акинфов;2
акияма;2
аккаунт;1,518514
акклиматизация;2
аккомпанемент;1,698970
аккомпаниатор;2
аккорд;2
аккордеон;1,698970
аккредитация;1,698970
аккредитовать;2
аккультурация;2
аккумулятор;1,698970
аккумуляторный;1,698970
аккуратно;1,518514
аккуратность;2
аккуратный;2
акм;2
акмс;2
акон;2
акр;2
акрагантец;2
акре;2
акриловый;2
акробатический;2
акробатка;2
акронемой;2
акроним;1,698970
акростих;2
акротирь;2
акроцентрический;2
акс;2
аксель;2
аксон;2
аксонема;2
аксонометрия;2
аксы;2
акт;0,698970
актер;0,698970
актерский;1,698970
актив;2
активация;1,698970
активизация;2
активизировать;2
активизироваться;2
активировать;1,698970
активироваться;1,698970
активист;1,518514
активистка;1,698970
активно;0,602060
активность;1,041393
активный;0,477121
актин;2
актиний;2
актиновый;2
актовый;2
актриса;1,204120
актуальность;1,397940
актуальный;0,954243
акула;1,518514
акуленок;2
акулеон;2
акулят;2
акустика;2
акустический;1,518514
акушер;2
акушерский;2
акушерско;2
акушерство;2
акцент;1,301030
акцентирование;2
акцентировать;1,698970
акцентироваться;2
акцепт;2
акцептировать;2
акцепторный;2
акционер;1,698970
акционерный;1,698970
акция;1,079181
алабама;2
алават;2
алагир;2
алам;2
аламильо;2
алан;1,397940
алания;1,698970
аланский;2
алауахио;2
албания;1,518514
албанский;1,698970
алва;2
алвара;2
алвес;2
алвеш;2
алгонкинский;2
алгоритм;1,698970
алгоритмический;2
алда;2
алдан;2
алдема;2
алджамейн;2
алдзбеков;2
алевтина;1,698970
алекс;1,301030
александр;0,477121
александра;0,698970
александриец;2
александрийский;1,301030
александринский;2
александрия;2
александров;2
александрович;1,204120
александровна;1,698970
александровский;1,698970
александрос;2
алексеев;2
алексеева;2
алексеевич;1,518514
алексеевка;2
алексеевский;2
алексей;0,698970
алексий;2
ален;2
алена;1,301030
алессандро;2
алетейя;1,518514
алеша;2
алешандрить;2
алжир;1,518514
алжирский;2
али;1,301030
алиби;2
алигейдар;2
алиев;1,698970
алиевич;2
алиенор;2
алимардан;2
